timestamp_ms,tilt_angle,tilt_rate,position,velocity,pwm_output,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
1744020732240,854428208820.813,499.917,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732341,698130054924.642,499.886,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732442,570423083609.411,499.902,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732542,466077190097.744,500.062,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732643,380818997998.977,499.978,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732744,311156847670.653,499.856,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732844,254237798968.073,499.848,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020732945,207730792079.308,499.909,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733046,169731181420.752,499.879,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733147,138682732879.326,500.047,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733247,113313889880.079,499.795,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733348,92585698123.214,499.902,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733449,75649256302.71,499.864,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733549,61810950245.757,499.864,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733650,50504046673.221,500.016,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733751,41265483233.982,499.955,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733851,33716904273.083,499.894,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020733952,27549165673.5,499.879,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734053,22509674183.784,499.894,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734154,18392042727.016,499.917,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734254,15027638034.869,499.848,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734355,12278674449.565,499.741,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734456,10032571056.903,499.909,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734556,8197341053.284,500.001,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734657,6697824522.95,499.986,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734758,5472610342.551,499.841,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734858,4471521153.09,499.856,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020734959,3653558399.155,499.772,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735060,2985223275.872,499.978,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735160,2439144820.711,499.932,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735261,1992958964.586,499.841,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735362,1628392634.772,499.841,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735462,1330515400.327,499.925,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735563,1087128012.291,500.047,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735664,888262795.989,500.077,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735764,725775435.513,499.665,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735865,593011431.778,499.848,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020735966,484533574.606,499.841,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736067,395899267.375,501.138,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736167,323478585.164,499.894,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736268,264305615.055,499.871,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736369,215956990.301,499.871,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736469,176452643.775,500.039,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736570,144174716.479,499.894,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736671,117801299.795,499.955,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736772,96252298.448,499.871,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736873,78645195.275,499.894,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020736974,64258910.066,499.864,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020737075,52504267.609,499.81,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020737176,42899868.937,499.902,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020737277,35052375.934,499.909,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
1744020737378,28640402.831,499.955,0.0,0.0,0,25.0,0.0,0.0,1.0,0.0,0.0
