time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
2,0.00,nan,0.00,3.52,nan,25.00,0.00,0.00,1.00,0.00,0.00
12,0.00,nan,0.00,37.08,nan,25.00,0.00,0.00,1.00,0.00,0.00
58,0.00,nan,0.00,63.83,nan,25.00,0.00,0.00,1.00,0.00,0.00
119,0.00,nan,0.00,21.50,nan,25.00,0.00,0.00,1.00,0.00,0.00
182,0.00,nan,0.00,-7.45,nan,25.00,0.00,0.00,1.00,0.00,0.00
244,0.00,nan,0.00,-30.92,nan,25.00,0.00,0.00,1.00,0.00,0.00
308,0.00,nan,0.00,-48.35,nan,25.00,0.00,0.00,1.00,0.00,0.00
371,0.00,nan,0.00,-21.10,nan,25.00,0.00,0.00,1.00,0.00,0.00
435,0.00,nan,0.00,-10.79,nan,25.00,0.00,0.00,1.00,0.00,0.00
498,0.00,nan,0.00,-11.25,nan,25.00,0.00,0.00,1.00,0.00,0.00
562,0.00,nan,0.00,-7.88,nan,25.00,0.00,0.00,1.00,0.00,0.00
624,0.00,nan,0.00,1.65,nan,25.00,0.00,0.00,1.00,0.00,0.00
686,0.00,nan,0.00,64.15,nan,25.00,0.00,0.00,1.00,0.00,0.00
748,0.00,nan,0.00,110.70,nan,25.00,0.00,0.00,1.00,0.00,0.00
812,0.00,nan,0.00,119.16,nan,25.00,0.00,0.00,1.00,0.00,0.00
875,0.00,nan,0.00,93.63,nan,25.00,0.00,0.00,1.00,0.00,0.00
1125,0.00,nan,0.00,47.14,nan,25.00,0.00,0.00,1.00,0.00,0.00
1188,0.00,nan,0.00,47.34,nan,25.00,0.00,0.00,1.00,0.00,0.00
1252,0.00,nan,0.00,22.93,nan,25.00,0.00,0.00,1.00,0.00,0.00
1507,0.00,nan,0.00,-12.79,nan,25.00,0.00,0.00,1.00,0.00,0.00
1571,0.00,nan,0.00,0.32,nan,25.00,0.00,0.00,1.00,0.00,0.00
1822,0.00,nan,0.00,-5.01,nan,25.00,0.00,0.00,1.00,0.00,0.00
1886,0.00,nan,0.00,-8.99,nan,25.00,0.00,0.00,1.00,0.00,0.00
1949,0.00,nan,0.00,-9.13,nan,25.00,0.00,0.00,1.00,0.00,0.00
2262,0.00,nan,0.00,8.22,nan,25.00,0.00,0.00,1.00,0.00,0.00
2511,0.00,nan,0.00,-2.08,nan,25.00,0.00,0.00,1.00,0.00,0.00
2575,0.00,nan,0.00,-5.27,nan,25.00,0.00,0.00,1.00,0.00,0.00
2638,0.00,nan,0.00,-7.24,nan,25.00,0.00,0.00,1.00,0.00,0.00
2702,0.00,nan,0.00,-5.71,nan,25.00,0.00,0.00,1.00,0.00,0.00
2765,0.00,nan,0.00,-2.25,nan,25.00,0.00,0.00,1.00,0.00,0.00
3019,0.00,nan,0.00,-18.57,nan,25.00,0.00,0.00,1.00,0.00,0.00
3084,0.00,nan,0.00,-12.74,nan,25.00,0.00,0.00,1.00,0.00,0.00
3338,0.00,nan,0.00,9.20,nan,25.00,0.00,0.00,1.00,0.00,0.00
3399,0.00,nan,0.00,3.06,nan,25.00,0.00,0.00,1.00,0.00,0.00
3462,0.00,nan,0.00,6.25,nan,25.00,0.00,0.00,1.00,0.00,0.00
3776,0.00,nan,0.00,-1.87,nan,25.00,0.00,0.00,1.00,0.00,0.00
4030,0.00,nan,0.00,-11.85,nan,25.00,0.00,0.00,1.00,0.00,0.00
