time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
183,0.00,nan,0.00,-3.39,nan,25.00,0.00,0.00,1.00,0.00,0.00
245,0.00,nan,0.00,-2.74,nan,25.00,0.00,0.00,1.00,0.00,0.00
308,0.00,nan,0.00,-0.83,nan,25.00,0.00,0.00,1.00,0.00,0.00
370,0.00,nan,0.00,2.47,nan,25.00,0.00,0.00,1.00,0.00,0.00
432,0.00,nan,0.00,2.33,nan,25.00,0.00,0.00,1.00,0.00,0.00
493,0.00,nan,0.00,2.18,nan,25.00,0.00,0.00,1.00,0.00,0.00
555,0.00,nan,0.00,1.47,nan,25.00,0.00,0.00,1.00,0.00,0.00
616,0.00,nan,0.00,-2.59,nan,25.00,0.00,0.00,1.00,0.00,0.00
678,0.00,nan,0.00,-2.40,nan,25.00,0.00,0.00,1.00,0.00,0.00
740,0.00,nan,0.00,-1.63,nan,25.00,0.00,0.00,1.00,0.00,0.00
802,0.00,nan,0.00,-2.82,nan,25.00,0.00,0.00,1.00,0.00,0.00
865,0.00,nan,0.00,-0.08,nan,25.00,0.00,0.00,1.00,0.00,0.00
1114,0.00,nan,0.00,1.73,nan,25.00,0.00,0.00,1.00,0.00,0.00
1176,0.00,nan,0.00,2.36,nan,25.00,0.00,0.00,1.00,0.00,0.00
1239,0.00,nan,0.00,-0.02,nan,25.00,0.00,0.00,1.00,0.00,0.00
1554,0.00,nan,0.00,-0.82,nan,25.00,0.00,0.00,1.00,0.00,0.00
