time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
7422,0.02,0.13,0.00,-7.92,3.13,25.00,0.00,0.00,1.00,0.00,0.00
7488,0.02,0.62,0.00,8.94,15.59,25.00,0.00,0.00,1.00,0.00,0.00
7553,0.02,0.55,0.00,-1.39,13.63,25.00,0.00,0.00,1.00,0.00,0.00
7817,0.07,2.80,0.00,30.44,69.88,25.00,0.00,0.00,1.00,0.00,0.00
7884,0.10,-0.87,0.00,-55.46,-21.79,25.00,0.00,0.00,1.00,0.00,0.00
7954,0.0.10,1.50,0.00,51.74,37.53,25.00,0.00,0.00,1.00,0.00,0.00
8157,0.11,-2.48,0.00,-54.92,-62.05,25.00,0.00,0.00,1.00,0.00,0.00
8226,0.09,1.17,0.00,59.02,29.32,25.00,0.00,0.00,1.00,0.00,0.00
8293,0.09,-2.31,0.00,-54.27,-57.78,25.00,0.00,0.00,1.00,0.00,0.00
838499,0.05,2.28,0.00,53.25,57.06,25.00,0.00,0.00,1.00,0.00,0.00
8565,0.07,-1.88,0.00,-65.04,-47.01,25.00,0.00,0.00,1.00,0.00,0.00
8635,0.06,2.80,0.00,65.65,70.07,25.00,0.00,0.00,1.00,0.00,0.00
8701,0.08,-3.25,0.00,-94.56,-81.15,25.00,0.00,0.00,1.00,0.00,0.00
8907,0.04,1.99,0.00,65.85,49.82,25.00,0.00,0.00,1.00,0.00,0.00
8974,0.05,-2.02,0.00,-61.46,-50.45,25.00,0.00,0.00,1.00,0.00,0.00
9043,0.04,2.38,0.00,65.19,59.43,25.00,0.00,0.00,1.00,0.00,0.00
9110,0.06,-2.00,0.00,-66.31,-50.08,25.00,0.00,0.00,1.00,0.00,0.0000
9316,0.06,3.98,0.00,84.63,99.46,25.00,0.00,0.00,1.00,0.00,0.00
9382,0.09,-2.61,0.00,-105.97,-65.21,25.00,0.00,0.00,1.00,0.00,0.00
9453,0.08,2.52,0.00,75.50,63.00,25.00,0.00,0.00,1.00,0.00,0.00
9520,0.09,-0.83,0.00,-53.41,-20.86,25.00,0.00,0.00,1.00,0.00,0.00
958725,0.10,1.74,0.00,43.50,43.45,25.00,0.00,0.00,1.00,0.00,0.00
9792,0.11,-2.44,0.00,-63.31,-61.07,25.00,0.00,0.00,1.00,0.00,0.00
9862,0.09,1.98,0.00,65.23,49.43,25.00,0.00,0.00,1.00,0.00,0.00
9928,0.10,-3.53,0.00,-82.44,-88.19,25.00,0.00,0.00,1.00,0.00,0.00
10137,0.01,-1.29,0.00,12.03,-32.28,25.00,0.00,0.00,1.00,0.00,0.00
10207,-0.01,-2.07,0.00,-9.95,-51.71,25.00,0.00,0.00,1.00,0.00,0.00
10277,-0.04,-1.07,0.00,13.86,-26.66,25.00,0.00,0.00,1.00,0.00,0.00
10694,-0.07,-0.65,0.00,7.45,-16.16,25.00,0.00,0.00,1.00,0.00,0.00
10764,-0.07,-0.63,0.00,-0.02,-15.84,25.00,0.00,0.00,1.00,0.00,0.00
10834,-0.08,-0.50,0.00,1.68,-12.47,25.00,0.00,0.00,1.00,0.00,0.00
10904,-0.08,-0.42,0.00,0.31,-10.41,25.00,0.00,0.00,1.00,0.00,0.00
10974,-0.08,-0.19,0.00,2.50,-4.63,25.00,0.00,0.00,1.00,0.00,0.00
11042,-0.08,0.21,0.00,4.77,5.13,25.00,0.00,0.00,1.00,0.00,0.00
11319,-0.08,-0.83,0.00,-3.34,-20.70,25.00,0.00,0.00,1.00,0.00,0.00
11389,-0.09,-2.06,0.00,-17.88,-51.53,25.00,0.00,0.00,1.00,0.00,0.00
11680,-0.43,-9.79,0.00,32.31,-244.70,25.00,0.00,0.00,1.00,0.00,0.00
11752,-0.59,-0.26,0.00,140.54,-6.60,25.00,0.00,0.00,1.00,0.00,0.00
11823,-0.64,-1.12,0.00,-8.13,-28.09,25.00,0.00,0.00,1.00,0.00,0.00
11893,-0.65,-0.46,0.00,6.56,-11.51,25.00,0.00,0.00,1.00,0.00,0.00
11963,-0.66,-0.30,0.00,1.14,-7.53,25.00,0.00,0.00,1.00,0.00,0.00
12169,-0.66,0.56,0.00,4.18,14.01,25.00,0.00,0.00,1.00,0.00,0.00
12236,-0.66,0.46,0.00,-2.66,11.45,25.00,0.00,0.00,1.00,0.00,0.00
12305,-0.65,0.21,0.00,-4.64,5.20,25.00,0.00,0.00,1.00,0.00,0.00
12723,-0.66,-2.03,0.00,-12.97,-50.87,25.00,0.00,0.00,1.00,0.00,0.00
12794,-0.69,-2.38,0.00,-7.27,-59.53,25.00,0.00,0.00,1.00,0.00,0.00
12865,-0.72,-1.35,0.00,11.91,-33.74,25.00,0.00,0.00,1.00,0.00,0.00
12936,-0.75,-2.26,0.00,-13.16,-56.50,25.00,0.00,0.00,1.00,0.00,0.00
13007,-0.78,-4.46,0.00,-30.37,-111.59,25.00,0.00,0.00,1.00,0.00,0.00
13298,-1.21,-3.38,0.00,34.64,-84.45,25.00,0.00,0.00,1.00,0.00,0.00
