timestamp,roll,pitch,target_angle,output,motor_speed
2025-04-10T19:33:22.938333,0.1377696581222513,0.2103616106374653,0,-551.0786324890053,0.0
2025-04-10T19:33:22.948402,0.27002852991961257,0.412308756849432,0,-1080.1141196784504,0.0
2025-04-10T19:33:22.958496,0.39699704684507936,0.6061780172129201,0,-1587.9881873803174,0.0
2025-04-10T19:33:22.968796,0.5188868230935275,0.7922925071618686,0,-2075.54729237411,0.0
2025-04-10T19:33:22.978634,0.6359010082920378,0.9709624175128592,0,-2543.604033168151,0.0
2025-04-10T19:33:22.988703,0.7482346260826076,1.1424855314498101,0,-2992.9385043304305,0.0
2025-04-10T19:33:22.999283,0.8560748991615545,1.307147720829283,0,-3424.299596646218,0.0
2025-04-10T19:33:23.009072,0.9596015613173436,1.4652234226335767,0,-3838.4062452693747,-0.027593600415827157
2025-04-10T19:33:23.019083,1.0589871569869012,1.616976096365699,0,-4235.948627947605,-0.05522188177789537
2025-04-10T19:33:23.029158,1.1543973288296763,1.7626586631485361,0,-4617.589315318705,-0.08278610438080199
2025-04-10T19:33:23.039486,1.2459910937987404,1.9025139272600597,0,-4983.964375194962,-0.1379080289056437
2025-04-10T19:33:23.049345,1.333921108169042,2.0367749808071225,0,-5335.684432676168,-0.16544749224938685
2025-04-10T19:33:23.059390,1.4183339219645317,2.165665592212303,0,-5673.335687858127,-0.22059811931480952
2025-04-10T19:33:23.069481,1.4993702232082016,2.289400579161276,0,-5997.480892832807,-0.3032497223764621
2025-04-10T19:33:23.079573,1.5771650724021247,2.40818616663229,0,-6308.660289608499,-0.38590718933333007
2025-04-10T19:33:23.089946,1.6518481276282908,2.5222203306044637,0,-6607.392510513163,-0.4685724761115795
2025-04-10T19:33:23.099722,1.7235438606454103,2.6316931280177505,0,-6894.175442581642,-0.5512299430684474
2025-04-10T19:33:23.109927,1.792371764341845,2.7367870135345056,0,-7169.487057367381,-0.6338358741390167
2025-04-10T19:33:23.119904,1.8584465518904225,2.8376771436305903,0,-7433.78620756169,-0.7163784671747786
2025-04-10T19:33:23.129966,1.921878347937057,2.9345316685228324,0,-7687.513391748228,-0.8266255761021599
2025-04-10T19:33:23.140058,1.9827728721418258,3.0275120124193844,0,-7931.091488567304,-0.9092302683681559
2025-04-10T19:33:23.150659,2.041231615378404,3.116773142560074,0,-8164.926461513616,-1.0195184397998838
2025-04-10T19:33:23.160218,2.097352008885519,3.2024638274951363,0,-8389.408035542076,-1.1021595854609552
2025-04-10T19:33:23.170320,2.151227586652349,3.2847268850327964,0,-8604.910346609397,-1.184779922548308
2025-04-10T19:33:23.180438,2.202948141308506,3.36369942026895,0,-8811.792565234024,-1.2674647608221112
2025-04-10T19:33:23.190473,2.2525998737784168,3.4395130540956576,0,-9010.399495113666,-1.3776988301463118
2025-04-10T19:33:23.200564,2.300265536949531,3.5122941425692966,0,-9201.062147798124,-1.4878677446454276
2025-04-10T19:33:23.210699,2.346024573593801,3.58216398750399,0,-9384.098294375202,-1.5706086417780991
2025-04-10T19:33:23.220796,2.3899532487723,3.649239038641296,0,-9559.8129950892,-1.6533097515184625
2025-04-10T19:33:23.231230,2.4321247769436587,3.713631087733109,0,-9728.499107774634,-1.7084205919962971
