,Unnamed: 0,time,input,ticks,velocity,position,time_diff,position_diff,calculated_velocity,noisy_velocity,window_2,window_4,window_6,window_8
0,0,1578.090959055,-1000,0,0.0,0.0,,,0.0,0.04967141530112327,0.04967141530112327,0.04967141530112327,0.04967141530112327,0.04967141530112327
1,1,1578.100993323,-1010,0,0.0,0.0,0.010034268000026714,0.0,0.0,-0.013826430117118467,0.0179224925920024,0.0179224925920024,0.0179224925920024,0.0179224925920024
2,2,1578.111050195,-1020,0,0.0,0.0,0.01005687199995009,0.0,0.0,0.06476885381006925,0.02547121184647539,0.033537946331358016,0.033537946331358016,0.033537946331358016
3,3,1578.121133733,-1030,0,0.0,0.0,0.010083538000117187,0.0,0.0,0.15230298564080255,0.1085359197254359,0.06322920615871916,0.06322920615871916,0.06322920615871916
4,4,1578.131224146,-1040,0,0.0,0.0,0.01009041299994351,0.0,0.0,-0.023415337472333597,0.06444382408423448,0.04495751796535494,0.045900297432508605,0.045900297432508605
5,5,1578.141264768,-1050,0,0.0,0.0,0.010040621999905852,0.0,0.0,-0.023413695694918055,-0.023414516583625825,0.04256070157090504,0.03434796524460416,0.03434796524460416
6,6,1578.151385233,-1060,0,0.0,0.0,0.010120464999999967,0.0,0.0,0.15792128155073915,0.06725379292791055,0.06584880850607251,0.052389609619540145,0.05200129614548059
7,7,1578.161462365,-1070,0,0.0,0.0,0.010077132000105848,0.0,0.0,0.07674347291529088,0.11733237723301501,0.046958930324694594,0.06748459345827502,0.05509406824170687
8,8,1578.171503143,-1080,0,0.0,0.0,0.010040778000075079,0.0,0.0,-0.04694743859349521,0.014898017160897833,0.04107590504440419,0.04886521139101429,0.04301671150487956
9,9,1578.181602774,-1090,0,0.0,0.0,0.010099631000002773,0.0,0.0,0.05425600435859647,0.003654282882550628,0.06049333005778282,0.032524047843979935,0.05152701581434393
10,10,1578.191722614,-1100,0,0.0,0.0,0.010119839999788383,0.0,0.0,-0.046341769281246226,0.0039571175386751214,0.009427567349786477,0.028702975875827832,0.037638187927929494
11,11,1578.201847506,-1110,0,0.0,0.0,0.010124892000021646,0.0,0.0,-0.04657297535702569,-0.04645737231913596,-0.021401544718292663,0.02484309593214323,0.012778692803200965
12,12,1578.211870003,-1120,0,0.0,0.0,0.010022497000136354,0.0,0.0,0.02419622715660341,-0.011188374100211139,-0.0036156282807680087,0.0025555868664539384,0.01873013838181809
13,13,1578.221877032,-1130,0,0.0,0.0,0.010007029000007606,0.0,0.0,-0.1913280244657798,-0.08356589865458819,-0.06501163548686208,-0.04212299603039118,-0.0022591527145396258
14,14,1578.231922914,-1140,0,0.0,0.0,0.010045881999985795,0.0,0.0,-0.1724917832513033,-0.18190990385854156,-0.09654913897937634,-0.06304705347335919,-0.04356078581479493
15,15,1578.241996765,-1150,0,0.0,0.0,0.010073851000015566,0.0,0.0,-0.05622875292409727,-0.11436026808770028,-0.09896308337114423,-0.08146117968714148,-0.06018231404471845
16,16,1578.252091449,-1160,0,0.0,0.0,0.010094684000023335,0.0,0.0,-0.10128311203344238,-0.07875593247876983,-0.1303329181686557,-0.09061807014584083,-0.06697427322471185
17,17,1578.262210663,-1170,0,0.0,0.0,0.010119213999814747,0.0,0.0,0.03142473325952739,-0.03492918938695751,-0.07464472873732889,-0.07761845204308199,-0.06982818211209547
18,18,1578.272278264,-1180,0,0.0,0.0,0.010067601000173454,0.0,0.0,-0.09080240755212111,-0.02968883714629686,-0.054222384812533345,-0.09678489116120274,-0.07538576189595483
19,19,1578.282335188,-1190,0,0.0,0.0,0.010056923999854916,0.0,0.0,-0.14123037013352918,-0.11601638884282514,-0.07547278911489133,-0.08843528210582763,-0.08721793624301778
20,20,1578.292386018,-1200,0,0.0,0.0,0.010050829999954658,0.0,0.0,0.14656487689215542,0.002667253379313117,-0.013510791883491871,-0.03525917208191786,-0.07192185502607379
21,21,1578.302463306,-1210,0,0.0,0.0,0.010077288000047702,0.0,0.0,-0.02257763004865357,0.061993623421750924,-0.02701138271053711,-0.02965065160267724,-0.05082805572393301
22,22,1578.31258549,-1220,0,0.0,0.0,0.010122184000010748,0.0,0.0,0.006752820468792384,-0.007912404789930593,-0.002622575705308738,-0.011644662852304777,-0.02842248025892104
23,23,1578.322630747,-1230,0,0.0,0.0,0.010045257000001584,0.0,0.0,-0.14247481862134567,-0.06786099907627664,-0.0029336878272628597,-0.040627921499116953,-0.039203238471077095
24,24,1578.332675327,-1240,0,0.0,0.0,0.010044580000112546,0.0,0.0,-0.05443827245251827,-0.09845654553693198,-0.05318447516343128,-0.034567232315849815,-0.033347633523461574
25,25,1578.342790636,-1250,0,0.0,0.0,0.010115308999957051,0.0,0.0,0.01109225897098661,-0.02167300674076583,-0.04476700290852124,-0.009180127465097183,-0.03588919280952917
26,26,1578.352850789,-1260,0,0.0,0.0,0.010060153000040373,0.0,0.0,-0.11509935774223029,-0.052003549385621836,-0.0752300474612769,-0.052790833237494804,-0.03892631158329282
27,27,1578.362960681,-1270,0,0.0,0.0,0.01010989199994583,0.0,0.0,0.0375698018345672,-0.03876477795383154,-0.030218892347298687,-0.04276626125695801,-0.016576290087280773
28,28,1578.373001094,-1280,0,0.0,0.0,0.010040413000069748,0.0,0.0,-0.0600638689918805,-0.011247033578656643,-0.031625291482139245,-0.053902376167070144,-0.04240488332278526
29,29,1578.383091664,-1290,0,0.0,0.0,0.010090569999874788,0.0,0.0,-0.02916937497932768,-0.04461662198560408,-0.04169069996971782,-0.03501813556006716,-0.04322885143911953
30,30,1578.393154004,-1300,0,0.0,0.0,0.010062340000104086,0.0,0.0,-0.060170661222939695,-0.04467001810113368,-0.02795852583989517,-0.03597353368847073,-0.05159428665058603
